nohup: ignoring input
Device: cuda

=== Epoch 1/100 ===
  Batch 180: Total=0.3030 | loss_classifier: 0.030 | loss_box_reg: 0.082 | loss_mask: 0.190 | loss_objectness: 0.001 | loss_rpn_box_reg: 0.001
  Batch 200: Total=0.3169 | loss_classifier: 0.053 | loss_box_reg: 0.126 | loss_mask: 0.129 | loss_objectness: 0.001 | loss_rpn_box_reg: 0.008
  Batch 220: Total=0.1376 | loss_classifier: 0.016 | loss_box_reg: 0.017 | loss_mask: 0.102 | loss_objectness: 0.002 | loss_rpn_box_reg: 0.001
  Batch 240: Total=0.2137 | loss_classifier: 0.031 | loss_box_reg: 0.070 | loss_mask: 0.110 | loss_objectness: 0.001 | loss_rpn_box_reg: 0.002
  Batch 260: Total=0.1775 | loss_classifier: 0.022 | loss_box_reg: 0.037 | loss_mask: 0.114 | loss_objectness: 0.001 | loss_rpn_box_reg: 0.003
  Batch 280: Total=0.3912 | loss_classifier: 0.064 | loss_box_reg: 0.131 | loss_mask: 0.180 | loss_objectness: 0.003 | loss_rpn_box_reg: 0.013
  Batch 300: Total=0.1495 | loss_classifier: 0.023 | loss_box_reg: 0.041 | loss_mask: 0.082 | loss_objectness: 0.000 | loss_rpn_box_reg: 0.002
  Batch 320: Total=0.2716 | loss_classifier: 0.033 | loss_box_reg: 0.080 | loss_mask: 0.153 | loss_objectness: 0.001 | loss_rpn_box_reg: 0.005
  Batch 340: Total=0.1869 | loss_classifier: 0.020 | loss_box_reg: 0.059 | loss_mask: 0.105 | loss_objectness: 0.000 | loss_rpn_box_reg: 0.004
  Batch 360: Total=0.2629 | loss_classifier: 0.019 | loss_box_reg: 0.058 | loss_mask: 0.182 | loss_objectness: 0.002 | loss_rpn_box_reg: 0.002
  Batch 380: Total=0.2640 | loss_classifier: 0.049 | loss_box_reg: 0.081 | loss_mask: 0.113 | loss_objectness: 0.014 | loss_rpn_box_reg: 0.007
  Batch 400: Total=0.3147 | loss_classifier: 0.062 | loss_box_reg: 0.077 | loss_mask: 0.165 | loss_objectness: 0.006 | loss_rpn_box_reg: 0.005
Epoch 5 | Avg Loss: 0.3410 | LR: 0.000050

=== Epoch 6/100 ===
  Batch 20: Total=0.2326 | loss_classifier: 0.028 | loss_box_reg: 0.055 | loss_mask: 0.148 | loss_objectness: 0.001 | loss_rpn_box_reg: 0.001
  Batch 40: Total=0.2096 | loss_classifier: 0.022 | loss_box_reg: 0.051 | loss_mask: 0.134 | loss_objectness: 0.000 | loss_rpn_box_reg: 0.003
  Batch 60: Total=0.3976 | loss_classifier: 0.053 | loss_box_reg: 0.085 | loss_mask: 0.252 | loss_objectness: 0.001 | loss_rpn_box_reg: 0.007
  Batch 80: Total=0.2809 | loss_classifier: 0.047 | loss_box_reg: 0.101 | loss_mask: 0.125 | loss_objectness: 0.002 | loss_rpn_box_reg: 0.006
  Batch 100: Total=0.3473 | loss_classifier: 0.030 | loss_box_reg: 0.091 | loss_mask: 0.224 | loss_objectness: 0.001 | loss_rpn_box_reg: 0.002
  Batch 120: Total=0.2016 | loss_classifier: 0.033 | loss_box_reg: 0.049 | loss_mask: 0.119 | loss_objectness: 0.000 | loss_rpn_box_reg: 0.001
  Batch 140: Total=0.2025 | loss_classifier: 0.018 | loss_box_reg: 0.073 | loss_mask: 0.108 | loss_objectness: 0.001 | loss_rpn_box_reg: 0.003
  Batch 160: Total=0.3802 | loss_classifier: 0.070 | loss_box_reg: 0.048 | loss_mask: 0.248 | loss_objectness: 0.011 | loss_rpn_box_reg: 0.003
  Batch 180: Total=0.2249 | loss_classifier: 0.030 | loss_box_reg: 0.062 | loss_mask: 0.128 | loss_objectness: 0.000 | loss_rpn_box_reg: 0.005
  Batch 200: Total=0.2580 | loss_classifier: 0.017 | loss_box_reg: 0.032 | loss_mask: 0.205 | loss_objectness: 0.003 | loss_rpn_box_reg: 0.001
  Batch 220: Total=0.2126 | loss_classifier: 0.027 | loss_box_reg: 0.065 | loss_mask: 0.114 | loss_objectness: 0.003 | loss_rpn_box_reg: 0.003
  Batch 240: Total=0.3810 | loss_classifier: 0.073 | loss_box_reg: 0.086 | loss_mask: 0.199 | loss_objectness: 0.020 | loss_rpn_box_reg: 0.003
  Batch 260: Total=0.4602 | loss_classifier: 0.029 | loss_box_reg: 0.050 | loss_mask: 0.328 | loss_objectness: 0.042 | loss_rpn_box_reg: 0.010
  Batch 280: Total=0.2322 | loss_classifier: 0.072 | loss_box_reg: 0.062 | loss_mask: 0.096 | loss_objectness: 0.001 | loss_rpn_box_reg: 0.002
  Batch 300: Total=0.3045 | loss_classifier: 0.061 | loss_box_reg: 0.059 | loss_mask: 0.184 | loss_objectness: 0.000 | loss_rpn_box_reg: 0.001
  Batch 320: Total=0.2912 | loss_classifier: 0.036 | loss_box_reg: 0.056 | loss_mask: 0.198 | loss_objectness: 0.000 | loss_rpn_box_reg: 0.002
  Batch 340: Total=0.6992 | loss_classifier: 0.057 | loss_box_reg: 0.063 | loss_mask: 0.560 | loss_objectness: 0.008 | loss_rpn_box_reg: 0.010
  Batch 360: Total=0.2113 | loss_classifier: 0.036 | loss_box_reg: 0.030 | loss_mask: 0.141 | loss_objectness: 0.002 | loss_rpn_box_reg: 0.003
  Batch 380: Total=0.1500 | loss_classifier: 0.019 | loss_box_reg: 0.040 | loss_mask: 0.090 | loss_objectness: 0.000 | loss_rpn_box_reg: 0.001
  Batch 400: Total=0.2382 | loss_classifier: 0.042 | loss_box_reg: 0.048 | loss_mask: 0.140 | loss_objectness: 0.002 | loss_rpn_box_reg: 0.006
Epoch 6 | Avg Loss: 0.3078 | LR: 0.000050

=== Epoch 7/100 ===
  Batch 20: Total=0.2816 | loss_classifier: 0.053 | loss_box_reg: 0.060 | loss_mask: 0.165 | loss_objectness: 0.001 | loss_rpn_box_reg: 0.003
